
[11:25:22 4993 INF] Running "Day 12: Rain Risk. Part One."
[11:25:22 5375 INF] 	After 5 instruction the awnser is 25.
[11:25:22 5521 VRB] 	Ship (EastWest -850, NorthSouth -559). Waypoint (EastWest -5, NorthSouth 0)
[11:25:22 5521 VRB] 	Ship (EastWest -945, NorthSouth -559). Waypoint (EastWest -5, NorthSouth 0)
[11:25:22 5521 VRB] 	Ship (EastWest -945, NorthSouth -559). Waypoint (EastWest -9, NorthSouth 0)
[11:25:22 5521 VRB] 	Ship (EastWest -1305, NorthSouth -559). Waypoint (EastWest -9, NorthSouth 0)
[11:25:22 5521 VRB] 	Ship (EastWest -1305, NorthSouth -559). Waypoint (EastWest -10, NorthSouth 0)
[11:25:22 5521 VRB] 	Ship (EastWest -1305, NorthSouth -559). Waypoint (EastWest 0, NorthSouth -10)
[11:25:22 5521 VRB] 	Ship (EastWest -1305, NorthSouth -559). Waypoint (EastWest 5, NorthSouth -10)
[11:25:22 5521 VRB] 	Ship (EastWest -1305, NorthSouth -559). Waypoint (EastWest 5, NorthSouth -7)
[11:25:22 5521 VRB] 	Ship (EastWest -1305, NorthSouth -559). Waypoint (EastWest 0, NorthSouth -7)
[11:25:22 5521 VRB] 	Ship (EastWest -1305, NorthSouth -559). Waypoint (EastWest 5, NorthSouth -7)
[11:25:22 5521 VRB] 	Ship (EastWest -1305, NorthSouth -559). Waypoint (EastWest 7, NorthSouth 5)
[11:25:22 5522 VRB] 	Ship (EastWest -1305, NorthSouth -559). Waypoint (EastWest 11, NorthSouth 5)
[11:25:22 5522 VRB] 	Ship (EastWest -1305, NorthSouth -559). Waypoint (EastWest 5, NorthSouth -11)
[11:25:22 5522 VRB] 	Ship (EastWest -1055, NorthSouth -1109). Waypoint (EastWest 5, NorthSouth -11)
[11:25:22 5522 VRB] 	Ship (EastWest -1055, NorthSouth -1109). Waypoint (EastWest 6, NorthSouth -11)
[11:25:22 5522 VRB] 	Ship (EastWest -1055, NorthSouth -1109). Waypoint (EastWest 4, NorthSouth -11)
[11:25:22 5522 VRB] 	Ship (EastWest -1055, NorthSouth -1109). Waypoint (EastWest -4, NorthSouth 11)
[11:25:22 5522 VRB] 	Ship (EastWest -1055, NorthSouth -1109). Waypoint (EastWest -4, NorthSouth 14)
[11:25:22 5522 VRB] 	Ship (EastWest -1055, NorthSouth -1109). Waypoint (EastWest -6, NorthSouth 14)
[11:25:22 5522 VRB] 	Ship (EastWest -1055, NorthSouth -1109). Waypoint (EastWest -6, NorthSouth 10)
[11:25:22 5522 VRB] 	Ship (EastWest -1253, NorthSouth -779). Waypoint (EastWest -6, NorthSouth 10)
[11:25:22 5522 VRB] 	Ship (EastWest -1253, NorthSouth -779). Waypoint (EastWest -7, NorthSouth 10)
[11:25:22 5522 VRB] 	Ship (EastWest -1253, NorthSouth -779). Waypoint (EastWest -10, NorthSouth -7)
[11:25:22 5522 VRB] 	Ship (EastWest -1253, NorthSouth -779). Waypoint (EastWest -13, NorthSouth -7)
[11:25:22 5522 VRB] 	Ship (EastWest -1253, NorthSouth -779). Waypoint (EastWest -7, NorthSouth 13)
[11:25:22 5522 VRB] 	Ship (EastWest -1610, NorthSouth -116). Waypoint (EastWest -7, NorthSouth 13)
[11:25:22 5523 VRB] 	Ship (EastWest -1610, NorthSouth -116). Waypoint (EastWest -13, NorthSouth -7)
[11:25:22 5523 VRB] 	Ship (EastWest -1610, NorthSouth -116). Waypoint (EastWest -10, NorthSouth -7)
[11:25:22 5523 VRB] 	Ship (EastWest -1610, NorthSouth -116). Waypoint (EastWest -7, NorthSouth 10)
[11:25:22 5523 VRB] 	Ship (EastWest -1610, NorthSouth -116). Waypoint (EastWest -12, NorthSouth 10)
[11:25:22 5523 VRB] 	Ship (EastWest -1610, NorthSouth -116). Waypoint (EastWest -12, NorthSouth 6)
[11:25:22 5523 VRB] 	Ship (EastWest -2474, NorthSouth 316). Waypoint (EastWest -12, NorthSouth 6)
[11:25:22 5523 VRB] 	Ship (EastWest -2474, NorthSouth 316). Waypoint (EastWest 6, NorthSouth 12)
[11:25:22 5523 VRB] 	Ship (EastWest -2474, NorthSouth 316). Waypoint (EastWest 6, NorthSouth 8)
[11:25:22 5523 VRB] 	Ship (EastWest -2474, NorthSouth 316). Waypoint (EastWest 9, NorthSouth 8)
[11:25:22 5523 VRB] 	Ship (EastWest -1880, NorthSouth 844). Waypoint (EastWest 9, NorthSouth 8)
[11:25:22 5523 VRB] 	Ship (EastWest -1880, NorthSouth 844). Waypoint (EastWest -8, NorthSouth 9)
[11:25:22 5523 VRB] 	Ship (EastWest -1880, NorthSouth 844). Waypoint (EastWest -8, NorthSouth 6)
[11:25:22 5523 VRB] 	Ship (EastWest -1880, NorthSouth 844). Waypoint (EastWest -4, NorthSouth 6)
[11:25:22 5523 VRB] 	Ship (EastWest -1880, NorthSouth 844). Waypoint (EastWest -6, NorthSouth -4)
[11:25:22 5523 VRB] 	Ship (EastWest -1880, NorthSouth 844). Waypoint (EastWest -4, NorthSouth -4)
[11:25:22 5524 VRB] 	Ship (EastWest -1880, NorthSouth 844). Waypoint (EastWest -4, NorthSouth 4)
[11:25:22 5524 VRB] 	Ship (EastWest -2256, NorthSouth 1220). Waypoint (EastWest -4, NorthSouth 4)
[11:25:22 5524 VRB] 	Ship (EastWest -2256, NorthSouth 1220). Waypoint (EastWest -4, NorthSouth -4)
[11:25:22 5524 VRB] 	Ship (EastWest -2332, NorthSouth 1144). Waypoint (EastWest -4, NorthSouth -4)
[11:25:22 5524 VRB] 	Ship (EastWest -2332, NorthSouth 1144). Waypoint (EastWest -6, NorthSouth -4)
[11:25:22 5524 VRB] 	Ship (EastWest -2332, NorthSouth 1144). Waypoint (EastWest 4, NorthSouth -6)
[11:25:22 5524 VRB] 	Ship (EastWest -2060, NorthSouth 736). Waypoint (EastWest 4, NorthSouth -6)
[11:25:22 5524 VRB] 	Ship (EastWest -2060, NorthSouth 736). Waypoint (EastWest 4, NorthSouth -4)
[11:25:22 5524 VRB] 	Ship (EastWest -2060, NorthSouth 736). Waypoint (EastWest 4, NorthSouth -7)
[11:25:22 5524 VRB] 	Ship (EastWest -1900, NorthSouth 456). Waypoint (EastWest 4, NorthSouth -7)
[11:25:22 5525 VRB] 	Ship (EastWest -1900, NorthSouth 456). Waypoint (EastWest 1, NorthSouth -7)
[11:25:22 5525 VRB] 	Ship (EastWest -1853, NorthSouth 127). Waypoint (EastWest 1, NorthSouth -7)
[11:25:22 5525 VRB] 	Ship (EastWest -1853, NorthSouth 127). Waypoint (EastWest 1, NorthSouth -12)
[11:25:22 5525 VRB] 	Ship (EastWest -1853, NorthSouth 127). Waypoint (EastWest 0, NorthSouth -12)
[11:25:22 5525 VRB] 	Ship (EastWest -1853, NorthSouth 127). Waypoint (EastWest -12, NorthSouth 0)
[11:25:22 5525 VRB] 	Ship (EastWest -2309, NorthSouth 127). Waypoint (EastWest -12, NorthSouth 0)
[11:25:22 5525 VRB] 	Ship (EastWest -2309, NorthSouth 127). Waypoint (EastWest 12, NorthSouth 0)
[11:25:22 5525 VRB] 	Ship (EastWest -1469, NorthSouth 127). Waypoint (EastWest 12, NorthSouth 0)
[11:25:22 5525 VRB] 	Ship (EastWest -1469, NorthSouth 127). Waypoint (EastWest 12, NorthSouth 2)
[11:25:22 5525 VRB] 	Ship (EastWest -1469, NorthSouth 127). Waypoint (EastWest -2, NorthSouth 12)
[11:25:22 5525 VRB] 	Ship (EastWest -1495, NorthSouth 283). Waypoint (EastWest -2, NorthSouth 12)
[11:25:22 5526 VRB] 	Ship (EastWest -1495, NorthSouth 283). Waypoint (EastWest -12, NorthSouth -2)
[11:25:22 5526 VRB] 	Ship (EastWest -2179, NorthSouth 169). Waypoint (EastWest -12, NorthSouth -2)
[11:25:22 5526 VRB] 	Ship (EastWest -2179, NorthSouth 169). Waypoint (EastWest -10, NorthSouth -2)
[11:25:22 5526 VRB] 	Ship (EastWest -2179, NorthSouth 169). Waypoint (EastWest -2, NorthSouth 10)
[11:25:22 5526 VRB] 	Ship (EastWest -2179, NorthSouth 169). Waypoint (EastWest -2, NorthSouth 15)
[11:25:22 5526 VRB] 	Ship (EastWest -2179, NorthSouth 169). Waypoint (EastWest -15, NorthSouth -2)
[11:25:22 5526 VRB] 	Ship (EastWest -2989, NorthSouth 61). Waypoint (EastWest -15, NorthSouth -2)
[11:25:22 5526 VRB] 	Ship (EastWest -2989, NorthSouth 61). Waypoint (EastWest -18, NorthSouth -2)
[11:25:22 5526 VRB] 	Ship (EastWest -2989, NorthSouth 61). Waypoint (EastWest -18, NorthSouth -4)
[11:25:22 5526 VRB] 	Ship (EastWest -3475, NorthSouth -47). Waypoint (EastWest -18, NorthSouth -4)
[11:25:22 5526 VRB] 	Ship (EastWest -3475, NorthSouth -47). Waypoint (EastWest -18, NorthSouth -7)
[11:25:22 5526 VRB] 	Ship (EastWest -3475, NorthSouth -47). Waypoint (EastWest -16, NorthSouth -7)
[11:25:22 5526 VRB] 	Ship (EastWest -3475, NorthSouth -47). Waypoint (EastWest -16, NorthSouth -9)
[11:25:22 5526 VRB] 	Ship (EastWest -3939, NorthSouth -308). Waypoint (EastWest -16, NorthSouth -9)
[11:25:22 5526 VRB] 	Ship (EastWest -4067, NorthSouth -380). Waypoint (EastWest -16, NorthSouth -9)
[11:25:22 5526 VRB] 	Ship (EastWest -4067, NorthSouth -380). Waypoint (EastWest -16, NorthSouth -14)
[11:25:22 5526 VRB] 	Ship (EastWest -4163, NorthSouth -464). Waypoint (EastWest -16, NorthSouth -14)
[11:25:22 5527 VRB] 	Ship (EastWest -4163, NorthSouth -464). Waypoint (EastWest -16, NorthSouth -10)
[11:25:22 5527 VRB] 	Ship (EastWest -4163, NorthSouth -464). Waypoint (EastWest 10, NorthSouth -16)
[11:25:22 5527 VRB] 	Ship (EastWest -3223, NorthSouth -1968). Waypoint (EastWest 10, NorthSouth -16)
[11:25:22 5527 VRB] 	Ship (EastWest -3223, NorthSouth -1968). Waypoint (EastWest 8, NorthSouth -16)
[11:25:22 5527 VRB] 	Ship (EastWest -3223, NorthSouth -1968). Waypoint (EastWest 8, NorthSouth -21)
[11:25:22 5527 VRB] 	Ship (EastWest -3223, NorthSouth -1968). Waypoint (EastWest -8, NorthSouth 21)
[11:25:22 5527 VRB] 	Ship (EastWest -3223, NorthSouth -1968). Waypoint (EastWest -8, NorthSouth 16)
[11:25:22 5527 VRB] 	Ship (EastWest -3375, NorthSouth -1664). Waypoint (EastWest -8, NorthSouth 16)
[11:25:22 5527 VRB] 	Ship (EastWest -3375, NorthSouth -1664). Waypoint (EastWest -5, NorthSouth 16)
[11:25:22 5527 VRB] 	Ship (EastWest -3375, NorthSouth -1664). Waypoint (EastWest -5, NorthSouth 17)
[11:25:22 5527 VRB] 	Ship (EastWest -3570, NorthSouth -1001). Waypoint (EastWest -5, NorthSouth 17)
[11:25:22 5528 VRB] 	Ship (EastWest -3570, NorthSouth -1001). Waypoint (EastWest -5, NorthSouth 22)
[11:25:22 5528 VRB] 	Ship (EastWest -3570, NorthSouth -1001). Waypoint (EastWest -8, NorthSouth 22)
[11:25:22 5528 VRB] 	Ship (EastWest -3570, NorthSouth -1001). Waypoint (EastWest 22, NorthSouth 8)
[11:25:22 5528 VRB] 	Ship (EastWest -2954, NorthSouth -777). Waypoint (EastWest 22, NorthSouth 8)
[11:25:22 5528 VRB] 	Ship (EastWest -2954, NorthSouth -777). Waypoint (EastWest -8, NorthSouth 22)
[11:25:22 5528 VRB] 	Ship (EastWest -2954, NorthSouth -777). Waypoint (EastWest -8, NorthSouth 21)
[11:25:22 5528 VRB] 	Ship (EastWest -2954, NorthSouth -777). Waypoint (EastWest 8, NorthSouth -21)
[11:25:22 5528 VRB] 	Ship (EastWest -2954, NorthSouth -777). Waypoint (EastWest 12, NorthSouth -21)
[11:25:22 5528 VRB] 	Ship (EastWest -2954, NorthSouth -777). Waypoint (EastWest 12, NorthSouth -20)
[11:25:22 5528 VRB] 	Ship (EastWest -2762, NorthSouth -1097). Waypoint (EastWest 12, NorthSouth -20)
[11:25:22 5528 VRB] 	Ship (EastWest -2762, NorthSouth -1097). Waypoint (EastWest -20, NorthSouth -12)
[11:25:22 5528 VRB] 	Ship (EastWest -2762, NorthSouth -1097). Waypoint (EastWest -24, NorthSouth -12)
[11:25:22 5528 VRB] 	Ship (EastWest -2762, NorthSouth -1097). Waypoint (EastWest -24, NorthSouth -15)
[11:25:22 5528 VRB] 	Ship (EastWest -3338, NorthSouth -1457). Waypoint (EastWest -24, NorthSouth -15)
[11:25:22 5528 VRB] 	Ship (EastWest -3338, NorthSouth -1457). Waypoint (EastWest -28, NorthSouth -15)
[11:25:22 5529 VRB] 	Ship (EastWest -4206, NorthSouth -1922). Waypoint (EastWest -28, NorthSouth -15)
[11:25:22 5529 VRB] 	Ship (EastWest -4206, NorthSouth -1922). Waypoint (EastWest -24, NorthSouth -15)
[11:25:22 5529 VRB] 	Ship (EastWest -4206, NorthSouth -1922). Waypoint (EastWest -24, NorthSouth -10)
[11:25:22 5529 VRB] 	Ship (EastWest -5142, NorthSouth -2312). Waypoint (EastWest -24, NorthSouth -10)
[11:25:22 5529 VRB] 	Ship (EastWest -5142, NorthSouth -2312). Waypoint (EastWest -24, NorthSouth -13)
[11:25:22 5529 VRB] 	Ship (EastWest -5286, NorthSouth -2390). Waypoint (EastWest -24, NorthSouth -13)
[11:25:22 5529 VRB] 	Ship (EastWest -5286, NorthSouth -2390). Waypoint (EastWest -24, NorthSouth -15)
[11:25:22 5529 VRB] 	Ship (EastWest -5286, NorthSouth -2390). Waypoint (EastWest -15, NorthSouth 24)
[11:25:22 5529 VRB] 	Ship (EastWest -5316, NorthSouth -2342). Waypoint (EastWest -15, NorthSouth 24)
[11:25:22 5529 VRB] 	Ship (EastWest -5316, NorthSouth -2342). Waypoint (EastWest 24, NorthSouth 15)
[11:25:22 5529 VRB] 	Ship (EastWest -5316, NorthSouth -2342). Waypoint (EastWest 24, NorthSouth 10)
[11:25:22 5529 VRB] 	Ship (EastWest -5316, NorthSouth -2342). Waypoint (EastWest 27, NorthSouth 10)
[11:25:22 5529 VRB] 	Ship (EastWest -3669, NorthSouth -1732). Waypoint (EastWest 27, NorthSouth 10)
[11:25:22 5529 VRB] 	Ship (EastWest -3669, NorthSouth -1732). Waypoint (EastWest 27, NorthSouth 8)
[11:25:22 5529 VRB] 	Ship (EastWest -3345, NorthSouth -1636). Waypoint (EastWest 27, NorthSouth 8)
[11:25:22 5529 VRB] 	Ship (EastWest -3345, NorthSouth -1636). Waypoint (EastWest 31, NorthSouth 8)
[11:25:22 5530 VRB] 	Ship (EastWest -3345, NorthSouth -1636). Waypoint (EastWest 31, NorthSouth 11)
[11:25:22 5530 VRB] 	Ship (EastWest -3345, NorthSouth -1636). Waypoint (EastWest 11, NorthSouth -31)
[11:25:22 5530 VRB] 	Ship (EastWest -3345, NorthSouth -1636). Waypoint (EastWest 11, NorthSouth -36)
[11:25:22 5530 VRB] 	Ship (EastWest -2377, NorthSouth -4804). Waypoint (EastWest 11, NorthSouth -36)
[11:25:22 5530 VRB] 	Ship (EastWest -2377, NorthSouth -4804). Waypoint (EastWest 11, NorthSouth -33)
[11:25:22 5530 VRB] 	Ship (EastWest -2377, NorthSouth -4804). Waypoint (EastWest 13, NorthSouth -33)
[11:25:22 5530 VRB] 	Ship (EastWest -2377, NorthSouth -4804). Waypoint (EastWest -33, NorthSouth -13)
[11:25:22 5530 VRB] 	Ship (EastWest -2377, NorthSouth -4804). Waypoint (EastWest -31, NorthSouth -13)
[11:25:22 5530 VRB] 	Ship (EastWest -2377, NorthSouth -4804). Waypoint (EastWest 13, NorthSouth -31)
[11:25:22 5530 VRB] 	Ship (EastWest -2377, NorthSouth -4804). Waypoint (EastWest 11, NorthSouth -31)
[11:25:22 5530 VRB] 	Ship (EastWest -2377, NorthSouth -4804). Waypoint (EastWest 11, NorthSouth -28)
[11:25:22 5530 VRB] 	Ship (EastWest -2377, NorthSouth -4804). Waypoint (EastWest -28, NorthSouth -11)
[11:25:22 5530 VRB] 	Ship (EastWest -2377, NorthSouth -4804). Waypoint (EastWest -28, NorthSouth -10)
[11:25:22 5530 VRB] 	Ship (EastWest -2377, NorthSouth -4804). Waypoint (EastWest 28, NorthSouth 10)
[11:25:22 5530 VRB] 	Ship (EastWest -2153, NorthSouth -4724). Waypoint (EastWest 28, NorthSouth 10)
[11:25:22 5530 VRB] 	Ship (EastWest -2153, NorthSouth -4724). Waypoint (EastWest 31, NorthSouth 10)
[11:25:22 5531 VRB] 	Ship (EastWest -2153, NorthSouth -4724). Waypoint (EastWest 29, NorthSouth 10)
[11:25:22 5531 VRB] 	Ship (EastWest -500, NorthSouth -4154). Waypoint (EastWest 29, NorthSouth 10)
[11:25:22 5531 VRB] 	Ship (EastWest -500, NorthSouth -4154). Waypoint (EastWest 10, NorthSouth -29)
[11:25:22 5531 VRB] 	Ship (EastWest -500, NorthSouth -4154). Waypoint (EastWest 11, NorthSouth -29)
[11:25:22 5531 VRB] 	Ship (EastWest 259, NorthSouth -6155). Waypoint (EastWest 11, NorthSouth -29)
[11:25:22 5531 VRB] 	Ship (EastWest 259, NorthSouth -6155). Waypoint (EastWest 11, NorthSouth -26)
[11:25:22 5531 VRB] 	Ship (EastWest 259, NorthSouth -6155). Waypoint (EastWest 26, NorthSouth 11)
[11:25:22 5531 VRB] 	Ship (EastWest 259, NorthSouth -6155). Waypoint (EastWest 26, NorthSouth 6)
[11:25:22 5531 VRB] 	Ship (EastWest 259, NorthSouth -6155). Waypoint (EastWest 24, NorthSouth 6)
[11:25:22 5531 VRB] 	Ship (EastWest 259, NorthSouth -6155). Waypoint (EastWest -24, NorthSouth -6)
[11:25:22 5531 VRB] 	Ship (EastWest 259, NorthSouth -6155). Waypoint (EastWest -28, NorthSouth -6)
[11:25:22 5531 VRB] 	Ship (EastWest 259, NorthSouth -6155). Waypoint (EastWest 6, NorthSouth -28)
[11:25:22 5531 VRB] 	Ship (EastWest 259, NorthSouth -6155). Waypoint (EastWest 6, NorthSouth -32)
[11:25:22 5531 VRB] 	Ship (EastWest 259, NorthSouth -6155). Waypoint (EastWest 32, NorthSouth 6)
[11:25:22 5531 VRB] 	Ship (EastWest 259, NorthSouth -6155). Waypoint (EastWest 35, NorthSouth 6)
[11:25:22 5532 VRB] 	Ship (EastWest 259, NorthSouth -6155). Waypoint (EastWest 35, NorthSouth 2)
[11:25:22 5532 VRB] 	Ship (EastWest 259, NorthSouth -6155). Waypoint (EastWest 32, NorthSouth 2)
[11:25:22 5532 VRB] 	Ship (EastWest 1475, NorthSouth -6079). Waypoint (EastWest 32, NorthSouth 2)
[11:25:22 5532 VRB] 	Ship (EastWest 1475, NorthSouth -6079). Waypoint (EastWest 2, NorthSouth -32)
[11:25:22 5532 VRB] 	Ship (EastWest 1475, NorthSouth -6079). Waypoint (EastWest 2, NorthSouth -33)
[11:25:22 5532 VRB] 	Ship (EastWest 1475, NorthSouth -6079). Waypoint (EastWest 3, NorthSouth -33)
[11:25:22 5532 VRB] 	Ship (EastWest 1625, NorthSouth -7729). Waypoint (EastWest 3, NorthSouth -33)
[11:25:22 5532 VRB] 	Ship (EastWest 1625, NorthSouth -7729). Waypoint (EastWest 3, NorthSouth -28)
[11:25:22 5532 VRB] 	Ship (EastWest 1625, NorthSouth -7729). Waypoint (EastWest 5, NorthSouth -28)
[11:25:22 5532 VRB] 	Ship (EastWest 1625, NorthSouth -7729). Waypoint (EastWest 5, NorthSouth -23)
[11:25:22 5532 VRB] 	Ship (EastWest 1625, NorthSouth -7729). Waypoint (EastWest 23, NorthSouth 5)
[11:25:22 5532 VRB] 	Ship (EastWest 1625, NorthSouth -7729). Waypoint (EastWest 21, NorthSouth 5)
[11:25:22 5532 VRB] 	Ship (EastWest 2927, NorthSouth -7419). Waypoint (EastWest 21, NorthSouth 5)
[11:25:22 5532 VRB] 	Ship (EastWest 2927, NorthSouth -7419). Waypoint (EastWest 21, NorthSouth 1)
[11:25:22 5532 VRB] 	Ship (EastWest 2927, NorthSouth -7419). Waypoint (EastWest 1, NorthSouth -21)
[11:25:22 5533 VRB] 	Ship (EastWest 2968, NorthSouth -8280). Waypoint (EastWest 1, NorthSouth -21)
[11:25:22 5533 VRB] 	Ship (EastWest 2968, NorthSouth -8280). Waypoint (EastWest -1, NorthSouth -21)
[11:25:22 5533 VRB] 	Ship (EastWest 2891, NorthSouth -9897). Waypoint (EastWest -1, NorthSouth -21)
[11:25:22 5533 VRB] 	Ship (EastWest 2891, NorthSouth -9897). Waypoint (EastWest 1, NorthSouth 21)
[11:25:22 5533 VRB] 	Ship (EastWest 2891, NorthSouth -9897). Waypoint (EastWest 1, NorthSouth 26)
[11:25:22 5533 VRB] 	Ship (EastWest 2891, NorthSouth -9897). Waypoint (EastWest -26, NorthSouth 1)
[11:25:22 5533 VRB] 	Ship (EastWest 2891, NorthSouth -9897). Waypoint (EastWest -26, NorthSouth 0)
[11:25:22 5533 VRB] 	Ship (EastWest 2891, NorthSouth -9897). Waypoint (EastWest -27, NorthSouth 0)
[11:25:22 5533 VRB] 	Ship (EastWest 2891, NorthSouth -9897). Waypoint (EastWest 0, NorthSouth -27)
[11:25:22 5533 VRB] 	Ship (EastWest 2891, NorthSouth -9897). Waypoint (EastWest -3, NorthSouth -27)
[11:25:22 5533 VRB] 	Ship (EastWest 2624, NorthSouth -12300). Waypoint (EastWest -3, NorthSouth -27)
[11:25:22 5533 VRB] 	Ship (EastWest 2624, NorthSouth -12300). Waypoint (EastWest -3, NorthSouth -26)
[11:25:22 5533 VRB] 	Ship (EastWest 2624, NorthSouth -12300). Waypoint (EastWest -26, NorthSouth 3)
[11:25:22 5533 VRB] 	Ship (EastWest 2624, NorthSouth -12300). Waypoint (EastWest -26, NorthSouth 1)
[11:25:22 5533 VRB] 	Ship (EastWest 1324, NorthSouth -12250). Waypoint (EastWest -26, NorthSouth 1)
[11:25:22 5533 VRB] 	Ship (EastWest 1324, NorthSouth -12250). Waypoint (EastWest -26, NorthSouth -4)
[11:25:22 5534 VRB] 	Ship (EastWest 1324, NorthSouth -12250). Waypoint (EastWest 26, NorthSouth 4)
[11:25:22 5534 VRB] 	Ship (EastWest 1324, NorthSouth -12250). Waypoint (EastWest 31, NorthSouth 4)
[11:25:22 5534 VRB] 	Ship (EastWest 2037, NorthSouth -12158). Waypoint (EastWest 31, NorthSouth 4)
[11:25:22 5534 VRB] 	Ship (EastWest 2037, NorthSouth -12158). Waypoint (EastWest 36, NorthSouth 4)
[11:25:22 5534 VRB] 	Ship (EastWest 2037, NorthSouth -12158). Waypoint (EastWest 36, NorthSouth 2)
[11:25:22 5534 VRB] 	Ship (EastWest 5457, NorthSouth -11968). Waypoint (EastWest 36, NorthSouth 2)
